TweetID,User,Tweet,Category,LocationInTweet,ObjectName,ObjectDetail,VictimName
1001,marrialigaya,"""@ANCALERTS: NDRRMC: 3 dead due to #RubyPH"" tsk",CD,,dead,3,
1002,IGMOlayvar,"""@DZMMTeleRadyo: Bubong at kisame ng Tacloban Airport, sinira ni #RubyPH http://t.co/FZHADakW9X http://t.co/0u0ziXbw9e"" grabe",CD,Tacloban Airport,"buong, kisame",sinira,
1003,blujay_chabby,"""@gmanews: #RubyPH update mula sa press briefing ng DILG: Walang naitalang casualty sa Leyte."" Good to hear. Sana sa ibang lugar din :)",CD,Leyte,,,
1004,MerryEdear,"""@gmanews: #RubyPH update mula sa press briefing ng DILG: Walang naitalang casualty sa Leyte."" Thank you Lord! :)",CD,Leyte,,,
1005,MarkGascon1,"""@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb""",CD,Northeastern Samar,linya ng komunikasyon,bagsak,
1006,meecatok,"""@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb""",CD,Northeastern Samar,linya ng komunikasyon,bagsak,
1007,IamTheLawler,"""@gmanews: Bagsak na ang linya ng komunikasyon sa mga bayan sa Northeastern Samar. #RubyPH | via @PeeweeHero @dzbb"" keep safe everyone",CD,Northeastern Samar,linya ng komunikasyon,bagsak,
1008,ariescaringal,"RT @gmanews: ROMBLON ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ï† As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",CD,ROMBLON,evacuees,"30,689",
1009,JholimaGlory,"RT @gmanews: ROMBLON ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ï† As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",CD,ROMBLON,evacuees,"30,689",
1010,chingbee1,"RT @gmanews: ROMBLON ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ï† As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",CD,ROMBLON,evacuees,"30,689",
1011,christheene18,"RT @gmanews: ROMBLON ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ï† As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",CD,ROMBLON,evacuees,"30,689",
1012,KeniticChoy,"RT @gmanews: ROMBLON ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ï† As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",CD,ROMBLON,evacuees,"30,689",
1013,khimfampo_23,"RT @gmanews: ROMBLON ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ï† As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",CD,ROMBLON,evacuees,"30,689",
1014,CyeFruelda,"RT @gmanews: ROMBLON ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬ï† As of 2:30PM, 30,689 na ang total evacuees sa buong probinsya, ayon sa PSWD. #RubyPH via @akosiJaysent",CD,ROMBLON,evacuees,"30,689",
1024,heephrodisiac,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1025,cassiebabyleigh,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1026,PurpleMonik,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1027,KhryssMalen30,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1028,Aeonflus,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1029,RubyPHNews1,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1030,clarissemado,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1031,glennpooot,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1032,AnitaKapoor,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1033,TUPManila_USG,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1034,ellemorre,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1035,Liizziiiiieeee,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1036,Terri_estupendo,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1037,KeniticChoy,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1038,jstnmrfl,"RT @gmanews: VIDEO: Bagyong #RubyPH, nagdulot ng malawak na pinsala sa Catbalogan, Samar http://t.co/DfA9ZNhkhL http://t.co/hUOpTVTm2S",CD,"Catbalogan, Samar",,malawak na pinsala,
1039,jayveellage,"RT @gmanews: VIDEO: Baha at mga pinsala sa imprastraktura, iniwan ng Bagyong #RubyPH http://t.co/lv9AkEYIev http://t.co/tpSDNXnrIV",CD,,imprastraktura,pinsala,
1040,sexymhel,"RT @gmanews: VIDEO: Baha at mga pinsala sa imprastraktura, iniwan ng Bagyong #RubyPH http://t.co/lv9AkEYIev http://t.co/tpSDNXnrIV",CD,,imprastraktura,pinsala,
1041,sotto_fiona,"RT @gmanews: VIDEO: Baha at mga pinsala sa imprastraktura, iniwan ng Bagyong #RubyPH http://t.co/lv9AkEYIev http://t.co/tpSDNXnrIV",CD,,imprastraktura,pinsala,
1042,akosidarkcloud,"RT @gmanews: VIDEO: Baha at mga pinsala sa imprastraktura, iniwan ng Bagyong #RubyPH http://t.co/lv9AkEYIev http://t.co/tpSDNXnrIV",CD,,imprastraktura,pinsala,
1043,jahstinesurio,"RT @gmanews: VIDEO: Baha at mga pinsala sa imprastraktura, iniwan ng Bagyong #RubyPH http://t.co/lv9AkEYIev http://t.co/tpSDNXnrIV",CD,,imprastraktura,pinsala,
1044,itsmeMayetteXD,"RT @gmanews: VIDEO: Baha at mga pinsala sa imprastraktura, iniwan ng Bagyong #RubyPH http://t.co/lv9AkEYIev http://t.co/tpSDNXnrIV",CD,,imprastraktura,pinsala,
1045,KeniticChoy,"RT @gmanews: VIDEO: Baha at mga pinsala sa imprastraktura, iniwan ng Bagyong #RubyPH http://t.co/lv9AkEYIev http://t.co/tpSDNXnrIV",CD,,imprastraktura,pinsala,
1046,francismagsajo,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1047,RubyPHNews1,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1048,violetagloria,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1049,mawexduque,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1050,ljr_leigh,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1051,vinnmartin,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1052,alrenjerome,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1053,lalaculala,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1054,bebebombia_5sex,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1055,haze_gear,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1056,erwinmoon,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1057,KimVianca,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1058,yanxq,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1059,KeniticChoy,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1060,cyrllbgl,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1061,GeraldineBerdan,"RT @gmanews: VIDEO: Dalawa, nasawi sa pananalasa ng Bagyong #RubyPH sa Dolores, Eastern Samar http://t.co/Cb0YyL8BdL http://t.co/uw0ITm5npt",CD,"Dolores, Eastern Samar",nasawi,dalawa,
1062,JennyRockwell,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/1SPOOw4WVF http://t.co/XJerjp7yWk",CD,Sorsogon,residente,"200,000, lumikas",
1063,erwinmoon,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1064,swifTaylor27,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1065,yujidetorres,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1066,indayevarona,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1067,sarca_sam,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1068,haze_gear,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1069,MhegMm,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1070,KeniticChoy,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1071,jay_divina,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1072,intelcoregeous,"RT @gmanews: VIDEO: Mahigit 200,000 residente, lumikas sa Sorsogon dahil sa Bagyong #RubyPH http://t.co/LrGpUfA9zZ http://t.co/hdrBnLajUj",CD,Sorsogon,residente,"200,000, lumikas",
1073,StevenBaldesco,"RT @IMReadyPH: As of 6:00am, walang naitalang casualty sa Catbalogan City,Samar- ayon kay Mayor Stephanie Uy-Tan. #RubyPH | via @dzbb",CD,"Catbalogan City, Samar",,,
1074,JosephDatalio,"RT @IMReadyPH: As of 6:00am, walang naitalang casualty sa Catbalogan City,Samar- ayon kay Mayor Stephanie Uy-Tan. #RubyPH | via @dzbb",CD,"Catbalogan City, Samar",,,
1075,gmakf,"RT @IMReadyPH: As of 6:00am, walang naitalang casualty sa Catbalogan City,Samar- ayon kay Mayor Stephanie Uy-Tan. #RubyPH | via @dzbb",CD,"Catbalogan City, Samar",,,
1076,YouScoop,"RT @IMReadyPH: As of 6:00am, walang naitalang casualty sa Catbalogan City,Samar- ayon kay Mayor Stephanie Uy-Tan. #RubyPH | via @dzbb",CD,"Catbalogan City, Samar",,,
1077,thecrazyCzar,"RT @itsbeben11: ""Electric post downed by strong winds in Abucay, Tacloban. #RubyPH (Photo via Zhander Cayabyab) via @ANCALERTS"" NKKLK http:ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦",CD,"Abucay, Tacloban",electric post,downed by strong winds,
1078,CHRISpylisyus,"RT @itsbeben11: ""Electric post downed by strong winds in Abucay, Tacloban. #RubyPH (Photo via Zhander Cayabyab) via @ANCALERTS"" NKKLK http:ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦",CD,"Abucay, Tacloban",electric post,downed by strong winds,
1079,earvin55,"RT @itsbeben11: ""Electric post downed by strong winds in Abucay, Tacloban. #RubyPH (Photo via Zhander Cayabyab) via @ANCALERTS"" NKKLK http:ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦",CD,"Abucay, Tacloban",electric post,downed by strong winds,
1080,AKAsleepyhead,"RT @itsbeben11: ""Electric post downed by strong winds in Abucay, Tacloban. #RubyPH (Photo via Zhander Cayabyab) via @ANCALERTS"" NKKLK http:ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦",CD,"Abucay, Tacloban",electric post,downed by strong winds,
1081,imDianavalencia,"RT @News5AKSYON: #AksyonSaHagupit: 10 bahay sa dalampasigan ng Albay, tinangay ng malakas na alon #RubyPH | Ulat ni @edlingao",CD,Albay,bahay,"10, tinangay ng malakas na alon",
1082,mjmarfori,"RT @News5AKSYON: #AksyonSaHagupit: 10 bahay sa dalampasigan ng Albay, tinangay ng malakas na alon #RubyPH | Ulat ni @edlingao",CD,Albay,bahay,"10, tinangay ng malakas na alon",
1083,TechDebit,"RT @News5AKSYON: #AksyonSaHagupit: 10 bahay sa dalampasigan ng Albay, tinangay ng malakas na alon #RubyPH | Ulat ni @edlingao",CD,Albay,bahay,"10, tinangay ng malakas na alon",
1084,jozelleanne,"RT @News5AKSYON: #AksyonSaHagupit: Gov. Sharee Ann Tan: Higit 28,000 pamilya ang inilikas dahil sa Bagyong #RubyPH",CD,,pamilya,"28,000, inilikas",
1085,mskeinajane,"RT @News5AKSYON: #AksyonSaHagupit: Gov. Sharee Ann Tan: Higit 28,000 pamilya ang inilikas dahil sa Bagyong #RubyPH",CD,,pamilya,"28,000, inilikas",
1086,mylsvalenciaTV5,"RT @News5AKSYON: #AksyonSaHagupit: Gov. Sharee Ann Tan: Higit 28,000 pamilya ang inilikas dahil sa Bagyong #RubyPH",CD,,pamilya,"28,000, inilikas",
1087,mechelleflorita,"RT @News5AKSYON: ROMBLON: As of 2:30PM, umabot na sa 9,584 pamilya o 30,689 katao na ang inilikas sa mga evacuation center. #RubyPH | via @ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦",CD,Romblon,"pamilya, katao","9,584; 30,689; inilikas",
1088,imamilatencio,"RT @News5AKSYON: ROMBLON: As of 2:30PM, umabot na sa 9,584 pamilya o 30,689 katao na ang inilikas sa mga evacuation center. #RubyPH | via @ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦",CD,Romblon,"pamilya, katao","9,584; 30,689; inilikas",
