"TweetID";"User";"Tweet";"Latitude";"Longitude";"IsHashtag";"IsURL";"IsRetweet";"Language"
513330913778741000;"micomanaman";"Hi world, salamat daw sa lahat ng baha niyo. Kakarating lang nila sa amin. #floodph #obandoblues";"NULL";"NULL";1;0;0;"tl"
513280742831308000;"Triciaserrafine";"baha baha parin ba?!!! #FloodPH";"NULL";"NULL";1;0;0;"tl"
513280245412012000;"kckimmy14";"RT @TheCEG16: Baha STOP! #FloodPH";"NULL";"NULL";1;0;1;"tl"
513275990886187000;"marvinolaes";"RT @imBLKD: #MarioPH #ReliefPH | TULONG KABATAAN drop-off points: http://t.co/ndMysBEQBG";"NULL";"NULL";1;1;1;"tl"
513262607176720000;"Mygreenbooking";"RT @VPJojoBinay: Tulong po tayo, mga Isko at Iska! #IskoOps #ReliefPH http://t.co/YR24FcDfDx";"NULL";"NULL";1;0;1;"tl"
513053769521963000;"TyphoonWatchPH";"samrocircle11: Repost from @aranzazushrine #MarioPH #FloodPH Kasabay ng ating pagdarasal ay kalakip ang mga karag... http://t.co/8P6jGS4Dj7";"NULL";"NULL";1;0;0;"tl"
513039793920290000;"SAMROCircle11";"Repost from @aranzazushrine #MarioPH #FloodPH Kasabay ng ating pagdarasal ay kalakip ang mgaâ€¦ http://t.co/VnYWyQ5JeN";"NULL";"NULL";1;1;0;"tl"
513038993068683000;"TyphoonWatchPH";"garapata_:High and Dry pa rin #resquePH #safeNow #reliefPh #floodPh #walangPasok #traffi... http://t.co/b7JnBbZ9z7 http://t.co/B7tLlvgdNW";"NULL";"NULL";1;1;0;"tl"
513020365724213000;"TyphoonWatchPH";"marizdecastrorn: First timeeeeee. Kaso di pa din nakapasok. #LubogangEdsa #BagyongMario #FloodPH ... http://t.co/dxtCXyB7mt";"NULL";"NULL";1;0;0;"tl"
513020343280472000;"TyphoonWatchPH";"jo_adrianna_gab: #MARIO #floodph tuwing september na lang may ganitong eksena. http://t.co/nQvlaiFW2V September... http://t.co/17gDTHc3oj";"NULL";"NULL";1;1;0;"tl"
513001042619797000;"margaretfaith29";"Muntik ng madisrasya... mabuti n lang may presence of mind ako.. haysss. #roadalert #rightwheels";"NULL";"NULL";1;0;0;"tl"
512998991705800000;"PelitaPeraltaUy";"Sa Lahat ng patuloy na naninilbihan sa ating mga kaba bayan, salamat sa inyo . God Bless all of you abundantly . #MarioPH #RescuePH";"NULL";"NULL";1;0;0;"tl"
512981435125207000;"najeeminaj";"@AntipoloCityGov passable na po ba tikling to brookside? #RoadAlert #MarioPH";"NULL";"NULL";1;0;0;"tl"
512981306150367000;"elydacpano";"Buti yung baha samin dumaan lang at agad ding nawala, hindi tulad sa marikina at rizal. #KeepSafe #MarioPH  #FloodPH";"NULL";"NULL";1;0;0;"tl"
512981093343965000;"najeeminaj";"@AntipoloCityGov passable na po ba yung antipolo tikling? brookside? #RoadAlert #MarioPH";"NULL";"NULL";1;0;0;"tl"
512978020676554000;"najeeminaj";"Passable na po ba sa may daan ng Antipolo Tikling? Brookside? #RoadAlert #MarioPH";"NULL";"NULL";1;0;0;"tl"
512961657161940000;"def_filipino";"Sa mga gusto pong magvolunteer. #ReliefPH http://t.co/8xttWXr5gR";"NULL";"NULL";1;1;0;"tl"
512958278083424000;"ReliefPHcom";"Metro Manila, Rizal: relief operations #MarioPHÂ #reliefPH http://t.co/U5y5cyz9oL";"NULL";"NULL";1;1;0;"tl"
512956546720862000;"Lorrainefall";"Dyosa ng baha. #FloodPH @iamjorgeacevedo http://t.co/BMtrF5G2a3";14.616417;121.005579;1;0;0;"tl"
512950071206227000;"donjuworrychild";"Halos natulog lang ako buong araw. Ayokong makinig o manood ng balita, masyado syang mabigat. #MarioPH #RescuePH";"NULL";"NULL";1;0;0;"tl"
512948476255428000;"TyphoonWatchPH";"kat_0024: Lumabas ako kanina gamit ang mahiwagang raincoat #MarioPH #FloodPH #MarikinaCity #Marikina River ... http://t.co/hRlqgJ0TeX";"NULL";"NULL";1;0;0;"tl"
512948409830215000;"TyphoonWatchPH";"etebeye: Ganito kami sa #Makati, @franzn , kaya mura. #MarioPH #FloodPH #lifegoeson #viewfromthetop #backdrop #lu... http://t.co/uBGiI04Lh2";"NULL";"NULL";1;0;0;"tl"
512946351462957000;"mariajclm";"RT @TweetupMNL: Tara na. Bayanihan na. #ReliefPH http://t.co/utwVq7K20M";"NULL";"NULL";1;0;1;"tl"
512946495155216000;"Mi_che_lle_18";"#DahilMayBagyo #MarioPH #bahaPH #FloodPH edsa #floodph manila #floodalert #FloodWallStreet http://t.co/BJ31uWB5x3";"NULL";"NULL";1;0;0;"tl"
512946329773826000;"CitizenPatrol";"Sitwasyon sa Isla Noah, 11th st., QC Kuha ni Jun Santiago #MarioPH #FloodPH http://t.co/A9JwZFclaV";"NULL";"NULL";1;0;0;"tl"
512945397673635000;"KimAhnzel";"RT @atomdatcom: Overheard: ""Pinaglalaruan natin si Mario dati, ngayon pinaglalaruan na nya tayo."" - Phil #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl"
512944648050835000;"itsAytana";"RT @TyphoonWatchPH: #DahilMayBagyoNgayon Awtsuuuuuu! Poor cars. Tsk tsk. #floodph #MarioPH  by lianlovesyou http://t.co/ze1KmQQQvo ... httpâ€¦";"NULL";"NULL";1;1;1;"tl"
512938132111495000;"luwipilip";"Passable na po ba marcos hiway? From sumulong to sm marikina @MMDA #floodph";14.574669;121.187334;1;0;0;"tl"
512934430902476000;"luwipilip";"Passable na po ba ang marcos hiway? #FloodPH";"NULL";"NULL";1;0;0;"tl" 
512932986929831000;"Miaaaabella";"RT @DivinemLee: To all our #rescueph team. Thank you :) I know pagoda na po kayo perl maslalo po tayong hindi pa pwede magpahinga kasi madiâ€¦";"NULL";"NULL";1;0;1;"tl"
512932602336931000;"iAmSuperPhillip";"RT @DivinemLee: To all our #rescueph team. Thank you :) I know pagoda na po kayo perl maslalo po tayong hindi pa pwede magpahinga kasi madiâ€¦";"NULL";"NULL";1;0;1;"tl"
512932472581922000;"iAmSuperPhillip";"RT @DivinemLee: and masmarami pong kailangan ng tulong. kaya pa yan :) Thank you to all our #RescuePH @RescuePH volunteers. PUSH!";"NULL";"NULL";1;0;1;"tl"
512932238204207000;"DivinemLee";"and masmarami pong kailangan ng tulong. kaya pa yan :) Thank you to all our #RescuePH @RescuePH volunteers. PUSH!";"NULL";"NULL";1;0;0;"tl"
512932045433999000;"DivinemLee";"To all our #rescueph team. Thank you :) I know pagoda na po kayo perl maslalo po tayong hindi pa pwede magpahinga kasi madilim na (1)";"NULL";"NULL";1;0;0;"tl"
512931378925953000;"naaaatsugi";"@kokolyne @minwaje HAHAHHAHA hindi ka na makakaarte pag baha na #RescuePH";"NULL";"NULL";1;0;0;"tl"
512930061746319000;"yhammieh";"#FloodPH  ask ko lang po kung bumabaha ba sa may Brgy.Holy Spirit, Commonwealth.. Salamat po!";"NULL";"NULL";1;0;0;"tl"
512929499386638000;"TharlieDenosta";"â€œ@rapplerdotcom: #FloodPH Quezon City. Follow our #MarioPH LIVE BLOG: http://t.co/NQ6GLP3Ra8 http://t.co/T0R4fObpUUâ€? May psok pba bukas?";"NULL";"NULL";1;1;0;"tl"
512927961557651000;"sinongkit";"Meron bang magrerescue kapag hinashtag ko ung #WalangMakain #FloodPH #MarioPH #BahaSaLoobNgBahay";"NULL";"NULL";1;0;0;"tl"
512928157976895000;"yumilovegood";"""@sinongkit: Meron bang magrerescue kapag hinashtag ko ung #WalangMakain #FloodPH #MarioPH #BahaSaLoobNgBahay""";"NULL";"NULL";1;0;0;"tl"
512928571828879000;"SerJavines";"RT @yumilovegood: ""@sinongkit: Meron bang magrerescue kapag hinashtag ko ung #WalangMakain #FloodPH #MarioPH #BahaSaLoobNgBahay""";"NULL";"NULL";1;0;1;"tl"
512927395506946000;"melm_g";"RT @katolikongpinoy: RT @bernanaboat: Can somebody tell kung saan banda yung live wire sa may EspaÃ±a? #RescuePH #MarioPH";"NULL";"NULL";1;0;1;"tl"
512927482945626000;"bdeligero20";"RT @BatoYesfmManila: Nakauli namo? (Nakauwi napo ba kayo?) #marioPH #floodPH";"NULL";"NULL";1;0;1;"tl"
512924449599811000;"sanjuncssr";"RT @CitizenPatrol: Sitwasyon sa plastikan sa payatas, QC Photo by: Nino Concha #MarioPH #FloodPH http://t.co/PRzYnjmyMD";"NULL";"NULL";1;0;1;"tl"
512924459041181000;"CitizenPatrol";"Sitwasyon sa QCPSTA Office, Barangay Vasra, QC Photo by: Orlando Santos #MarioPH #FloodPH http://t.co/jhkbCFeTnm";"NULL";"NULL";1;0;0;"tl"
512924600137568000;"luwipilip";"Passanable na bamsrcos hiway? #FloodPH";"NULL";"NULL";1;0;0;"tl"
512924628637872000;"sanjuncssr";"RT @CitizenPatrol: Sitwasyon sa QCPSTA Office, Barangay Vasra, QC Photo by: Orlando Santos #MarioPH #FloodPH http://t.co/jhkbCFeTnm";"NULL";"NULL";1;0;1;"tl"
512923086459383000;"CitizenPatrol";"Sitwasyon sa plastikan sa payatas, QC #MarioPH #FloodPH http://t.co/PRzYnjmyMD";"NULL";"NULL";1;0;0;"tl"
512923151827628000;"TheRealPaeng";"@bambangstation #RESCUEPH PADRINAO, TANDANG SORA EXT. Hahahahahahahaha";"NULL";"NULL";1;0;0;"tl"
512922033127034000;"CitizenPatrol";"Sitwasyon sa Provident Village, Marikina Photo by: Jansen Romero
#MarioPH #FloodPH http://t.co/PhmY4XTs6h";"NULL";"NULL";1;0;0;"tl"
512922015989116000;"cincodeziall";"#RescuePH guys spread niyo pa! =) maraming may kailangan ng tulong diyan thank you keep safe and god bless! http://t.co/tG1vXIUng1";"NULL";"NULL";1;0;0;"tl"
512921570491105000;"sporty_mai";"Ingat Luzon! #MarioPH #Besafe #PAGASA #FloodPH";"NULL";"NULL";1;0;0;"tl"
512921032621953000;"ayveecruz";"Passable ba ang Ortigas Ext. IPI to Tramo? Thanks. #MovePH #MarioPH #FloodPH @MMDA";"NULL";"NULL";1;0;0;"tl"
512920857916616000;"Artquitechto";"RT @klarkshark: @24OrasGMA at karangalan village pasig city. Around 5pm. #marioph #floodph http://t.co/TMCpBHbqmx";"NULL";"NULL";1;0;1;"tl"
512918822614212000;"JocelynBordador";"Mabuti naman. FYR #MarioPH #ReliefPH http://t.co/PGnBqkqXHt";"NULL";"NULL";1;1;0;"tl"
512919548136153000;"MsJennOfficial";"Saklap. #floodPH";"NULL";"NULL";1;0;0;"tl"
512920031215108000;"klarkshark";"@24OrasGMA at karangalan village pasig city. Around 5pm. #marioph #floodph http://t.co/TMCpBHbqmx";"NULL";"NULL";1;0;0;"tl"
512920516681011000;"TyphoonWatchPH";"angelibayani: by @maralopezy ""Please repost!  #MarioPH #floodPH #rescueph #reliefph #wal... http://t.co/mzKvNveYuW http://t.co/oqyPeI8hXm";"NULL";"NULL";1;1;0;"tl"
512918822614212000;"JocelynBordador";"Mabuti naman. FYR #MarioPH #ReliefPH http://t.co/PGnBqkqXHt";"NULL";"NULL";1;1;0;"tl"
512919548136153000;"MsJennOfficial";"Saklap. #floodPH";"NULL";"NULL";1;0;0;"tl"
512920031215108000;"klarkshark";"@24OrasGMA at karangalan village pasig city. Around 5pm. #marioph #floodph http://t.co/TMCpBHbqmx";"NULL";"NULL";1;0;0;"tl"
512920516681011000;"TyphoonWatchPH";"angelibayani: by @maralopezy ""Please repost!  #MarioPH #floodPH #rescueph #reliefph #wal... http://t.co/mzKvNveYuW http://t.co/oqyPeI8hXm";"NULL";"NULL";1;1;0;"tl"
512916183968804000;"cincodeziall";"MAY NA RESCUE NA ULIT SA CAINTA RIZAL KEEP SAFE  #RescuePH";"NULL";"NULL";1;0;0;"tl"
512916284426579000;"cincodeziall";"RT @TyphoonWatchPH: angelibayani: by @maralopezy ""Please repost!  #MarioPH #floodPH #rescueph #reliefph #walangpasok #roadAlert #move... htâ€¦";"NULL";"NULL";1;0;1;"tl"
512916374457298000;"anna_robelle";"Naririnig ko na naman patak ng ulan sa bintana. :/ #NoPower vito cruz";14.563189;120.994758;1;0;0;"tl"
512915840719532000;"martinbarretto1";"#24Oras Hanggang dibdib na po yung baha dito sa amin sa ParaÃ±aque brgy: San isidro #floodPH";"NULL";"NULL";1;0;0;"tl"
512916095502942000;"TyphoonWatchPH";"its_jjam: Ginawang swimming pool yung creek.  #floodPH http://t.co/HQBEqUscAc September 19, 2014 at 05:57PM http://t.co/2kud0hWFLP";"NULL";"NULL";1;1;0;"tl"
512916168286691000;"TyphoonWatchPH";"angelibayani: by @maralopezy ""Please repost!  #MarioPH #floodPH #rescueph #reliefph #walangpasok #roadAlert #move... http://t.co/h1JgmXmFXs";"NULL";"NULL";1;0;0;"tl"
512915520119504000;"josheribs";"RT @katolikongpinoy: RT @cincodeziall: @cincodeziall KAHIT HINDI NIYO PO KAANO ANO IREPORT NIYO PARIN SA @RescuePH #RescuePH PLEASE";"NULL";"NULL";1;0;1;"tl"
512915400871247000;"cincodeziall";"RT @katolikongpinoy: RT @cincodeziall: @cincodeziall KAHIT HINDI NIYO PO KAANO ANO IREPORT NIYO PARIN SA @RescuePH #RescuePH PLEASE";"NULL";"NULL";1;0;1;"tl"
512915311775858000;"katolikongpinoy";"RT @cincodeziall: @cincodeziall KAHIT HINDI NIYO PO KAANO ANO IREPORT NIYO PARIN SA @RescuePH #RescuePH PLEASE";"NULL";"NULL";1;0;0;"tl"
512913696201273000;"ilooovepsychos";"Kamusta na ba yung way papuntang EASTWOOD? #GMAnews #Floodph";"NULL";"NULL";1;0;0;"tl"
512911928444723000;"MicahClemente";"""@MovePH: Flood situation in Frisco, Del Monte, QC via @CocoMartinReyes #FloodPH http://t.co/jJYyo90vDH"" ito un @evilpeterpaan. Senyo ba to?";"NULL";"NULL";1;0;0;"tl"
512911627302080000;"ilike_rupert";"@meralco anu na? Bat walang kuryente aa pque???! #NoPower #NoPower #MarioPH #Meralco #MeralcoPls";"NULL";"NULL";1;0;0;"tl"
512909072505401000;"Ricalele";"Nangingibabaw yung buto. Ha ha ha. #NoLigo #NoWater #JustReyn :( http://t.co/lq1XuBofqh";"NULL";"NULL";1;1;0;"tl"
512908882797400000;"iam_madamme_eds";"Passable po ba ang slex makati to alabang? #FloodPH #MarioPH #roadalert";14.319703;120.917654;1;0;0;"tl"
512908837171392000;"VjOzzyFuentes";"Stranded in Makati #floodph #marioph @ Buendia cor OsmeÃ±a Highway http://t.co/2x6FScr7eS";14.557983;121.007945;1;1;0;"tl"
512907261291687000;"anna_robelle";"#NoPower vito cruz :( grabe ang init. :(";14.563441;120.994655;1;0;0;"tl"
512907683079270000;"nikki_gurl08";"#NoPower here at UPS IV Village, ParaÃ±aque City";"NULL";"NULL";1;0;0;"tl"
512904526870093000;"PTVph";"#FloodPH -  Photos taken in Malaya cor. Kanlaon Sts. in La Loma Quezon City [Photos by Coi Hombrebueno] l l  #MarioPH";"NULL";"NULL";1;0;0;"tl"
512904565285322000;"enticiniall";"#RescuePH tulong tulong tayo";"NULL";"NULL";1;0;0;"tl"
512904706440454000;"ReliefPHcom";"RT @PTVph: #FloodPH -  Photos taken in Malaya cor. Kanlaon Sts. in La Loma Quezon City [Photos by Coi Hombrebueno] l l  #MarioPH";"NULL";"NULL";1;0;1;"tl"
512903912748097000;"eterniallcliff";"#RescuePH guys! Mag rt tayo ng mga nangangailangan ng tulog!";"NULL";"NULL";1;0;0;"tl"
512904398469480000;"eterniallcliff";"#RescuePH let's rt guys! Specially sa mga nangangailangan ng tulong";"NULL";"NULL";1;0;0;"tl"
512904517268938000;"enticiniall";"RT @eterniallcliff: #RescuePH let's rt guys! Specially sa mga nangangailangan ng tulong";"NULL";"NULL";1;0;1;"tl"
512903507729317000;"ElleCherchait_";"@daeenes nakita ko rin sa ABS yun. naiyak din ako. sana pina-rescue ng @ABSCBNNews yung 2 inanod na dogs. #marioph #RescuePH";"NULL";"NULL";1;0;0;"tl"
512903690035146000;"TyphoonWatchPH";"chuck.no.risk: Abot hanggang fifth floor na sang tubig dito sa amin. :( #mario #floodph http://t.co/9vbsL71Iu5 ... http://t.co/NwcJRY1YDi";"NULL";"NULL";1;1;0;"tl"
512903758481616000;"daeenes";"RT @ElleCherchait_: @daeenes nakita ko rin sa ABS yun. naiyak din ako. sana pina-rescue ng @ABSCBNNews yung 2 inanod na dogs. #marioph #Resâ€¦";"NULL";"NULL";1;0;1;"tl"
512901661422256000;"BAYOlator";"#FloodPH abs cbn was here in san miguel # taguig http://t.co/xVER0p28li";"NULL";"NULL";1;1;0;"tl"
512901330755538000;"allendeIacruz";"RT @atomdatcom: Overheard: ""Pinaglalaruan natin si Mario dati, ngayon pinaglalaruan na nya tayo."" - Phil #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl"
512898545847111000;"GMorningBoss";"â–º Sa mga boss po na nasa lugar bandang Marcos Hi-way, ibayong ingat po mga boss! l l  #MarioPH , #FloodPH http://t.co/RcWcr4mkt4";"NULL";"NULL";1;1;0;"tl"
512898353814728000;"ReliefPHcom";"Manila: evacuation centers #MarioPHÂ #reliefPH http://t.co/MP1VxcTwpi";"NULL";"NULL";1;1;0;"tl"
512897839337177000;"CitizenPatrol";"Mga residente sa bgy maly San Mateo nasa maly elem school na. #MateoPH #FloodPH";"NULL";"NULL";1;0;0;"tl"
512897048928989000;"monacesandalo";"""@rapplerdotcom: #FloodPH Quezon City. Follow our #MarioPH LIVE BLOG: http://t.co/QEwWGhEFDO http://t.co/OuBWYXWFRU"" Naykupo";"NULL";"NULL";1;1;0;"tl"
512897122782310000;"atomdatcom";"Overheard: ""Pinaglalaruan natin si Mario dati, ngayon pinaglalaruan na nya tayo."" - Phil #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl"
512896648867901000;"CitizenPatrol";"ilang residente sa marikina inilikas na sa concepcion integrated school. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl"
512896061182992000;"BernieCadao";"RT @tonyocruz: Sa mga nasa bahay, oras na para linisin ang cabinet. Ihiwalay ang mga damit na pwedeng i-donate para sa #ReliefPH.";"NULL";"NULL";1;0;1;"tl"
512894033857744000;"kattett";"@onecainta @sb_onecainta Doctor San Juan street Brgy. San Juan #MarioPH #FloodPH http://t.co/ge5zJitiM0";"NULL";"NULL";1;0;0;"tl"
