"TweetID";"User";;"Latitude";"Longitude";"IsUrl";"IsHashtag";"IsRetweet";"Language";"Category"
2;"USTRCYCENG";"RT @varsitarianust: Evacuees at Sto. Domingo Church in QC have reached 2.5k. @UST_CSC calling for volunteers tomorrow, 6am call time. #ReliÅ â€”_";"NULL";"NULL";1;0;1;"en";"CD"
103;"YoItsEllaoiG";"RT @DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha; Quirino Hiway ang daan pa-Daet (Photo from @PRO5React) http://t.co/l9AopM1Zmy httpÅ â€”_";"NULL";"NULL";0;1;1;"tl";"CD"
272;"CitizenPatrol";"Mahigit 3,000 pamilya, apektado ng baha sa Candaba, Pampanga. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
289;"sanjuncssr";"RT @CitizenPatrol: ilang residente sa marikina inilikas na sa Malanday Elem. School. #MarioPH #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CD"
290;"sanjuncssr";"RT @CitizenPatrol: ilang residente sa marikina inilikas na sa din sa pilipinas at sampaguita village . #MarioPH #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CD"
437;"CitizenPatrol";"Sa dist. 4 brgy. 576 d. santiago ay tinatayang 50 pamilya ang apektado ng bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
725;"CitizenPatrol";"Sa muntinlupa may 60 pamilya sa cupang at 50 sa tunasan (cuyab) ay apektado dulot ng bagyo.#MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
734;"CitizenPatrol";"Sa paranaque, 60 pamilya ang inilikas sa silverio creek at 30 sa fastrack. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CD"
735;"CitizenPatrol";"15 pamilya sa Pasay,brgy 184 ang kasalukuyang nasa brgy.hall at 15 naman ang nasa daycare . #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CD"
1223;"katolikongpinoy";"RT @varsitarianust: 2.5k evacuees in Sto. Domingo Church, QC as of of 8PM. SOURCE: DOMNET #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"en";"CD"
1224;"CitizenPatrol";"Sa brgy 162 sta.Quiteria ay tinatayang may 148 at gayun din sa brgy 164 na may 101 na pamilya ang apektado dulot ng bagyo. #MarioPH";"NULL";"NULL";1;0;0;"tl";"CD"
1225;"KeniticChoy";"RT @stateofdnation: Mahigit limandaang pamilya ang kinailangang ilikas sa Malabon dahil sa matinding baha. LIVE si @tinapperez.";"NULL";"NULL";0;0;1;"tl";"CD"
1228;"QMCMags";"Å â€”â€œ@DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha http://t.co/BbC25XjXx4Å â€”Â #HugotSaTagUlan @QueenAngeH @DearAtiSayii";"NULL";"NULL";1;1;0;"tl";"CD"
1230;"gabdarez";"RT @YouScoop: Tulay sa Brgy. Kabuluan, Sta Elena sa Camarines Norte, winasak ng baha. #MarioPH http://t.co/DOG7B2jJVH";"NULL";"NULL";1;0;1;"tl";"CD"
1231;"DZMMTeleRadyo";"Tulay sa CamNorte, nawasak ng baha http://t.co/l9AopM1Zmy http://t.co/nVoZrD9Ibd";"NULL";"NULL";0;1;0;"tl";"CD"
1232;"kawaiirobeni";"RT @DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha http://t.co/l9AopM1Zmy http://t.co/nVoZrD9Ibd";"NULL";"NULL";0;1;1;"tl";"CD"
1233;"badillo_kevin";"RT @DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha http://t.co/l9AopM1Zmy http://t.co/nVoZrD9Ibd";"NULL";"NULL";0;1;1;"tl";"CD"
1234;"badillo_kevin";"RT @DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha http://t.co/l9AopM1Zmy http://t.co/nVoZrD9Ibd";"NULL";"NULL";0;1;1;"tl";"CD"
1235;"nnnikkka";"RT @DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha http://t.co/l9AopM1Zmy http://t.co/nVoZrD9Ibd";"NULL";"NULL";0;1;1;"tl";"CD"
1236;"chantaleco";"RT @CitizenPatrol: Sa Kalaw roxas compound ay tinatayang may 300 na pamilya ang apektado dulot ng bagyo. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1238;"chantaleco";"RT @CitizenPatrol: S dist. 5 baseco,inilikas n ilang mga residente s atienza elem. at aquino elem. n tinatayang hndi bababa sa limang libo.Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1239;"chantaleco";"RT @CitizenPatrol: Sa dist. 4 brgy. 576 d. santiago ay tinatayang 50 pamilya ang apektado ng bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1240;"kawaiirobeni";"RT @DZMMTeleRadyo: Tulay sa CamNorte, nawasak ng baha http://t.co/l9AopM1Zmy http://t.co/nVoZrD9Ibd";"NULL";"NULL";0;1;1;"tl";"CD"
1241;"DZMMTeleRadyo";"Tulay sa CamNorte, nawasak ng baha http://t.co/l9AopM1Zmy http://t.co/nVoZrD9Ibd";"NULL";"NULL";0;1;0;"tl";"CD"
1242;"gabdarez";"RT @YouScoop: Tulay sa Brgy. Kabuluan, Sta Elena sa Camarines Norte, winasak ng baha. #MarioPH http://t.co/DOG7B2jJVH";"NULL";"NULL";1;0;1;"tl";"CD"
1244;"JhelRonquillo";"833 pamilya/2,833 indibidwal inilikas mula sa iba't ibang distrito ng Maynila dahil parin sa baha #MarioPH";"NULL";"NULL";1;0;0;"tl";"CD"
1245;"CitizenPatrol";"S dist. 5 baseco,inilikas n ilang mga residente s atienza elem. at aquino elem. n tinatayang hndi bababa sa limang libo. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CD"
1246;"CitizenPatrol";"Sa Kalaw roxas compound ay tinatayang may 300 na pamilya ang apektado dulot ng bagyo. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
1247;"CitizenPatrol";"24 families, 81 individual mula sa Brgy. Bagumbayan, Taguig City ang lumikas sa Cayetano Sports Complex. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CD"
1248;"katolikongpinoy";"RT @CitizenPatrol: S dist. 3,parola binondo s bgy. 275 ay tinatayang 400 pmilya ang apektado at 292 kbahayan ang nsira dulot ng bgyong mariÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1249;"chantaleco";"RT @CitizenPatrol: S dist. 3,parola binondo s bgy. 275 ay tinatayang 400 pmilya ang apektado at 292 kbahayan ang nsira dulot ng bgyong mariÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1251;"KJDumapit";"RT @CitizenPatrol: ilang pamilya sa Brgy San Pedro West, Frisco, QC, ay nastuck na sa 2nd floor at patuloy pa din ang lakas ulan. #MarioPH Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1252;"KJDumapit";"RT @CitizenPatrol: Lumikas na sa covered court ng barangay ang mga taga Bulelak, Marikina. #MarioPH #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CD"
1253;"KJDumapit";"RT @CitizenPatrol: Sa kalaw roxas compound ay tinatayang 300 na pamilya ang apektado ng patuloy na pag ulan at pagbaha. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1254;"KJDumapit";"RT @CitizenPatrol: Sa district. 1 brgy. 93 estero ay tinatayang 50 pamilya ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1255;"KJDumapit";"RT @CitizenPatrol: Sa district 2 mayhaligue estero brgy. 257 ay tinatayang 60 pamilya ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1256;"KJDumapit";"RT @CitizenPatrol: umabot s mahigit 10,000 ang mga residente s marikina ang nilikas dhil ptuloy n pgtaas ng baha s Marikina river n ngyon aÃ¢â‚¬Â¦";"NULL";"NULL";0;0;1;"tl";"CD"
1257;"KJDumapit";"RT @CitizenPatrol: Sa district 2 ,felix de leon brgy. 256 ay tinatayang 100 pamilya ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1259;"KJDumapit";"RT @CitizenPatrol: Sa district 2 ,felix de leon brgy. 264 ay tinatayang 50 pamilya naman ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1260;"KJDumapit";"RT @CitizenPatrol: district 2,estero narcisa bgy. 259 tinatayang 150 at 200 n pmilya nman s estero de magdalena ang apektado s bagyong marÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1261;"KJDumapit";"RT @CitizenPatrol: 2,200 pmilya s Caloocan inilikas at 1,278 pamilya naman inilikas mula sa mga bgys malapit sa Tullahan river sa ValenzuelÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1262;"KJDumapit";"RT @CitizenPatrol: S dist. 3,parola binondo s bgy. 275 ay tinatayang 400 pmilya ang apektado at 292 kbahayan ang nsira dulot ng bgyong mariÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1263;"KJDumapit";"RT @CitizenPatrol: Sa dist. 4 brgy. 576 d. santiago ay tinatayang 50 pamilya ang apektado ng bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1279;"Mauilorezca";"RT @ryanmacatulad: Ã¢â‚¬Å“@gmanews: MARILAO, BULACAN Ã¢â‚¬â€ Abot leeg na ang baha sa ilang lugar. Ilang residente ang inilikas. #MarioPH update ni JohÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1280;"chantaleco";"RT @CitizenPatrol: 2,200 pmilya s Caloocan inilikas at 1,278 pamilya naman inilikas mula sa mga bgys malapit sa Tullahan river sa ValenzuelÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1281;"CitizenPatrol";"S dist. 3,parola binondo s bgy. 275 ay tinatayang 400 pmilya ang apektado at 292 kbahayan ang nsira dulot ng bgyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
1282;"katolikongpinoy";"RT @CitizenPatrol: Sa district. 1 brgy. 93 estero ay tinatayang 50 pamilya ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
1284;"letmillete";"RT @BalitaNgayon: 113 preso sa Meycauayan Municipal Jail, inilipat sa Sta. Maria Municipal Jail dahil sa hanggang dibdib na baha #MarioPH |Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1285;"CitizenPatrol";"2,200 pmilya s Caloocan inilikas at 1,278 pamilya naman inilikas mula sa mga bgys malapit sa Tullahan river sa Valenzuela. #MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
1286;"chantaleco";"RT @CitizenPatrol: district 2,estero narcisa bgy. 259 tinatayang 150 at 200 n pmilya nman s estero de magdalena ang apektado s bagyong marÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CD"
1287;"chantaleco";"RT @CitizenPatrol: Sa district 2 ,felix de leon brgy. 264 ay tinatayang 50 pamilya naman ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1289;"chantaleco";"RT @CitizenPatrol: Sa district 2 ,felix de leon brgy. 256 ay tinatayang 100 pamilya ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1290;"chantaleco";"RT @CitizenPatrol: umabot s mahigit 10,000 ang mga residente s marikina ang nilikas dhil ptuloy n pgtaas ng baha s Marikina river n ngyon aÃ¢â‚¬Â¦";"NULL";"NULL";0;0;1;"tl";"CD"
1291;"chantaleco";"RT @CitizenPatrol: Sa district 2 mayhaligue estero brgy. 257 ay tinatayang 60 pamilya ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1292;"chantaleco";"RT @CitizenPatrol: Sa district. 1 brgy. 93 estero ay tinatayang 50 pamilya ang apektado sa bagyong mario. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1293;"chantaleco";"RT @CitizenPatrol: Sa kalaw roxas compound ay tinatayang 300 na pamilya ang apektado ng patuloy na pag ulan at pagbaha. #MarioPH #FloodPH";"NULL";"NULL";1;0;1;"tl";"CD"
1294;"CitizenPatrol";"district 2,estero narcisa bgy. 259 tinatayang 150 at 200 n pmilya nman s estero de magdalena ang apektado s bagyong mario.#MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
1363;"CitizenPatrol";"Sa muntinlupa may 60 pamilya sa cupang at 50 sa tunasan (cuyab) ay apektado dulot ng bagyo.#MarioPH #FloodPH";"NULL";"NULL";1;0;0;"tl";"CD"
