"TweetID","User","Tweet","Latitude","Longitude","IsHashtag","IsURL","IsRetweet","Language","Category","W_#aksyonsahagupit","W_#rubyph","W_@_iancruz","W_@akosijaysent","W_@dzbb","W_@dzmmteleradyo","W_@gmanews","W_agutaya","W_all","W_ang","W_antas","W_at","W_bagyong","W_bilang","W_bukas","W_buong","W_catbalogan","W_city","W_cuyo","W_dahil","W_dec","W_dolores","W_eastern","W_evacuation","W_for","W_goods","W_gumaca","W_hangin","W_in","W_ipinagagamit","W_kuryente","W_laguna","W_lahat","W_magsaysay","W_manila","W_metro","W_muling","W_na","W_nang","W_ng","W_ni","W_of","W_palawan","W_pampanga","W_personnel","W_preso","W_ps36","W_quezon","W_rizal","W_romblon","W_rt","W_sa","W_samar","W_san","W_signal","W_tacloban","W_towns","W_transported","W_ulat","W_via","W_video","W_wala","N_#r","N_,_","N_._","N_/t","N_:/","N_:_","N_@d","N__#","N__@","N__a","N__b","N__h","N__k","N__m","N__n","N__s","N__v","N_a_","N_ac","N_ag","N_ah","N_al","N_an","N_as","N_at","N_ay","N_ba","N_bu","N_by","N_co","N_el","N_er","N_g_","N_ga","N_h_","N_ha","N_ia","N_il","N_in","N_la","N_li","N_ma","N_na","N_ng","N_on","N_ph","N_ro","N_ru","N_sa","N_t_","N_ta","N_te","N_to","N_tp","N_tt","N_ub","N_vi","N_yp","Length"
"1","RubyPHNews1","RT @gmanews: RIZAL â?? Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcKâ?¦",,,"1","0","1","tl","D","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","3","5","1","1","1","0","1","1","3","0","0","2","6","0","1","0","3","0","1","1","1","0","1","3","1","1","1","2","1","1","0","1","4","2","0","1","0","2","1","0","1","0","3","1","0","1","1","1","1","1","2","0","0","4","1","0","2","3","24"
"2","UdchenC","RT @gmanews: RIZAL â?? Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcKâ?¦",,,"1","0","1","tl","D","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","3","5","1","1","1","0","1","1","3","0","0","2","6","0","1","0","3","0","1","1","1","0","1","3","1","1","1","2","1","1","0","1","4","2","0","1","0","2","1","0","1","0","3","1","0","1","1","1","1","1","2","0","0","4","1","0","2","3","24"
"3","deniseclarity","RT @gmanews: RIZAL â?? Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcKâ?¦",,,"1","0","1","tl","D","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","3","5","1","1","1","0","1","1","3","0","0","2","6","0","1","0","3","0","1","1","1","0","1","3","1","1","1","2","1","1","0","1","4","2","0","1","0","2","1","0","1","0","3","1","0","1","1","1","1","1","2","0","0","4","1","0","2","3","24"
"4","MicaaaELLAf","RT @gmanews: RIZAL â?? Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcKâ?¦",,,"1","0","1","tl","D","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","3","5","1","1","1","0","1","1","3","0","0","2","6","0","1","0","3","0","1","1","1","0","1","3","1","1","1","2","1","1","0","1","4","2","0","1","0","2","1","0","1","0","3","1","0","1","1","1","1","1","2","0","0","4","1","0","2","3","24"
"5","KeniticChoy","RT @gmanews: RIZAL â?? Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcKâ?¦",,,"1","0","1","tl","D","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","3","5","1","1","1","0","1","1","3","0","0","2","6","0","1","0","3","0","1","1","1","0","1","3","1","1","1","2","1","1","0","1","4","2","0","1","0","2","1","0","1","0","3","1","0","1","1","1","1","1","2","0","0","4","1","0","2","3","24"
"6","my_aya08","RT @gmanews: RIZAL â?? Inihahanda na ang gym sa San Mateo sakaling muling ilikas ang mga preso. | #RubyPH via @VargasMannysen http://t.co/xcKâ?¦",,,"1","0","1","tl","D","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","3","5","1","1","1","0","1","1","3","0","0","2","6","0","1","0","3","0","1","1","1","0","1","3","1","1","1","2","1","1","0","1","4","2","0","1","0","2","1","0","1","0","3","1","0","1","1","1","1","1","2","0","0","4","1","0","2","3","24"
"7","mariajessapadua","RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.coâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","1","3","1","0","2","1","1","0","1","1","3","1","1","0","1","3","0","1","1","0","1","0","0","0","2","1","2","1","0","1","1","1","1","1","0","0","0","1","1","0","0","3","0","1","0","2","2","24"
"8","itsbeckxoxo","RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.coâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","1","3","1","0","2","1","1","0","1","1","3","1","1","0","1","3","0","1","1","0","1","0","0","0","2","1","2","1","0","1","1","1","1","1","0","0","0","1","1","0","0","3","0","1","0","2","2","24"
"9","AparriPolSta","RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.coâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","1","3","1","0","2","1","1","0","1","1","3","1","1","0","1","3","0","1","1","0","1","0","0","0","2","1","2","1","0","1","1","1","1","1","0","0","0","1","1","0","0","3","0","1","0","2","2","24"
"10","PTVph","RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.coâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","1","3","1","0","2","1","1","0","1","1","3","1","1","0","1","3","0","1","1","0","1","0","0","0","2","1","2","1","0","1","1","1","1","1","0","0","0","1","1","0","0","3","0","1","0","2","2","24"
"11","jarlego_td14","RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.coâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","1","3","1","0","2","1","1","0","1","1","3","1","1","0","1","3","0","1","1","0","1","0","0","0","2","1","2","1","0","1","1","1","1","1","0","0","0","1","1","0","0","3","0","1","0","2","2","24"
"12","manilena50","RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.coâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","1","3","1","0","2","1","1","0","1","1","3","1","1","0","1","3","0","1","1","0","1","0","0","0","2","1","2","1","0","1","1","1","1","1","0","0","0","1","1","0","0","3","0","1","0","2","2","24"
"13","LGiUSAchapter","RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.coâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","1","3","1","0","2","1","1","0","1","1","3","1","1","0","1","3","0","1","1","0","1","0","0","0","2","1","2","1","0","1","1","1","1","1","0","0","0","1","1","0","0","3","0","1","0","2","2","24"
"14","jlpvillanueva","RT @govph: PHOTO: @PN_Speak personnel of PS36 in Palawan transported relief goods to Cuyo, Agutaya and Magsaysay towns. #RubyPH http://t.coâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","1","3","1","0","2","1","1","0","1","1","3","1","1","0","1","3","0","1","1","0","1","0","0","0","2","1","2","1","0","1","1","1","1","1","0","0","0","1","1","0","0","3","0","1","0","2","2","24"
"15","TropangMARangal","RT @govph: Via @dswdserves: As of 11:30 am, the NROC has 311 volunteers. Maraming salamat sa tulong! #ReliefPH #RubyPH http://t.co/OQ8RW7JWâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","0","1","2","1","1","0","0","1","0","2","0","1","2","1","1","1","1","0","1","1","2","2","3","1","1","1","0","1","1","0","0","2","1","2","2","0","1","0","1","2","1","1","0","1","1","2","2","1","0","2","1","0","2","2","25"
"16","serbisyoaccess","RT @govph: Via @dswdserves: As of 11:30 am, the NROC has 311 volunteers. Maraming salamat sa tulong! #ReliefPH #RubyPH http://t.co/OQ8RW7JWâ?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","0","1","2","1","1","0","0","1","0","2","0","1","2","1","1","1","1","0","1","1","2","2","3","1","1","1","0","1","1","0","0","2","1","2","2","0","1","0","1","2","1","1","0","1","1","2","2","1","0","2","1","0","2","2","25"
"17","leahnavarro","RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/â?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","2","3","1","0","2","1","1","1","1","1","0","1","2","0","1","1","0","1","1","0","1","0","0","0","1","1","2","1","0","1","1","2","1","1","0","1","0","1","1","0","0","3","0","1","0","1","2","22"
"18","Foxshane","RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/â?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","2","3","1","0","2","1","1","1","1","1","0","1","2","0","1","1","0","1","1","0","1","0","0","0","1","1","2","1","0","1","1","2","1","1","0","1","0","1","1","0","0","3","0","1","0","1","2","22"
"19","News5AKSYON","RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/â?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","2","3","1","0","2","1","1","1","1","1","0","1","2","0","1","1","0","1","1","0","1","0","0","0","1","1","2","1","0","1","1","2","1","1","0","1","0","1","1","0","0","3","0","1","0","1","2","22"
"20","TropangMARangal","RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/â?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","2","3","1","0","2","1","1","1","1","1","0","1","2","0","1","1","0","1","1","0","1","0","0","0","1","1","2","1","0","1","1","2","1","1","0","1","0","1","1","0","0","3","0","1","0","1","2","22"
"21","yvan_zenith","RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/â?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","2","3","1","0","2","1","1","1","1","1","0","1","2","0","1","1","0","1","1","0","1","0","0","0","1","1","2","1","0","1","1","2","1","1","0","1","0","1","1","0","0","3","0","1","0","1","2","22"
"22","cocoy","RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/â?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","2","3","1","0","2","1","1","1","1","1","0","1","2","0","1","1","0","1","1","0","1","0","0","0","1","1","2","1","0","1","1","2","1","1","0","1","0","1","1","0","0","3","0","1","0","1","2","22"
"23","enjayneer","RT @PN_Speak: Navy personnel of PS36 in Palawan transported relief goods for Cuyo, Agutaya and Magsaysay municipality. #RubyPH http://t.co/â?¦",,,"1","0","1","tl","D","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","2","0","2","3","1","0","2","1","1","1","1","1","0","1","2","0","1","1","0","1","1","0","1","0","0","0","1","1","2","1","0","1","1","2","1","1","0","1","0","1","1","0","0","3","0","1","0","1","2","22"
"24","UnangHirit","Mahigit 200,000 family food packs, inihahanda na ng DSWD para maapektuhan ng Bagyong #RubyPH #UnangHirit",,,"1","0","0","tl","D","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","1","0","2","0","1","1","1","0","3","0","2","0","0","0","3","0","0","0","0","0","0","1","1","3","0","1","0","1","3","0","1","0","1","0","1","0","0","0","1","0","1","0","2","0","0","1","0","0","0","4","1","1","0","0","16"
"25","Lizzy99677068","RT @UnangHirit: Mahigit 200,000 family food packs, inihahanda na ng DSWD para maapektuhan ng Bagyong #RubyPH #UnangHirit",,,"1","0","1","tl","D","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","1","0","2","0","1","1","1","0","4","0","2","0","0","0","3","0","0","0","0","0","0","1","1","3","0","1","0","1","3","0","1","1","1","0","2","0","0","0","2","0","1","0","3","0","0","1","0","0","0","5","1","1","1","0","19"
"26","gmanews","Inihahanda na ng @dswdserves ang mahigit 200,000 family food packs para sa maapektuhan ng Bagyong #RubyPH. | via @UnangHirit",,,"1","0","0","tl","D","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","1","1","1","1","1","0","1","1","1","0","4","1","2","0","1","0","3","1","0","0","0","0","1","0","1","3","0","1","0","1","4","0","1","0","1","1","1","0","0","0","2","0","0","0","2","1","0","1","0","0","0","5","1","1","2","1","20"
